player,salary,season,season_end,season_start,team
Khem Birch,50000,2014-15,2015,2014,Miami Heat
Eddy Curry,1229255,2011-12,2012,2011,Miami Heat
Mark Davis,100000,1999-00,2000,1999,Miami Heat
Dante Exum,3615000,2014-15,2015,2014,Utah Jazz
Brian Grant,8900000,2000-01,2001,2000,Miami Heat
Bob Hansen,65000,1984-85,1985,1984,Utah Jazz
Rodney Hood,1290360,2014-15,2015,2014,Utah Jazz
Tim Legler,140000,1992-93,1993,1992,Utah Jazz
James Posey,5900400,2005-06,2006,2005,Miami Heat
Leon Powe,432000,2006-07,2007,2006,Boston Celtics
Carlos Rogers,778350,2001-02,2002,2001,Indiana Pacers
Beno Udrih,2170465,2015-16,2016,2015,Miami Heat
Alaa Abdelnaby,395000,1990-91,1991,1990,Portland Trail Blazers
Alaa Abdelnaby,494000,1991-92,1992,1991,Portland Trail Blazers
Alaa Abdelnaby,500000,1992-93,1993,1992,Boston Celtics
Alaa Abdelnaby,805000,1993-94,1994,1993,Boston Celtics
Alaa Abdelnaby,650000,1994-95,1995,1994,Sacramento Kings
Kareem Abdul-Jabbar,1530000,1984-85,1985,1984,Los Angeles Lakers
Kareem Abdul-Jabbar,2030000,1985-86,1986,1985,Los Angeles Lakers
Kareem Abdul-Jabbar,2000000,1987-88,1988,1987,Los Angeles Lakers
Kareem Abdul-Jabbar,3000000,1988-89,1989,1988,Los Angeles Lakers
Mahmoud Abdul-Rauf,1660000,1990-91,1991,1990,Denver Nuggets
Mahmoud Abdul-Rauf,2008000,1991-92,1992,1991,Denver Nuggets
Mahmoud Abdul-Rauf,2358000,1992-93,1993,1992,Denver Nuggets
Mahmoud Abdul-Rauf,1825000,1993-94,1994,1993,Denver Nuggets
Mahmoud Abdul-Rauf,2200000,1994-95,1995,1994,Denver Nuggets
Mahmoud Abdul-Rauf,2600000,1995-96,1996,1995,Denver Nuggets
Mahmoud Abdul-Rauf,3100000,1996-97,1997,1996,Sacramento Kings
Mahmoud Abdul-Rauf,3300000,1997-98,1998,1997,Sacramento Kings
Mahmoud Abdul-Rauf,798500,2000-01,2001,2000,Vancouver Grizzlies
Tariq Abdul-Wahad,1226880,1997-98,1998,1997,Sacramento Kings
Tariq Abdul-Wahad,1411000,1998-99,1999,1998,Sacramento Kings
Tariq Abdul-Wahad,1594920,1999-00,2000,1999,Denver Nuggets
Tariq Abdul-Wahad,4500000,2000-01,2001,2000,Denver Nuggets
Tariq Abdul-Wahad,5062500,2001-02,2002,2001,Denver Nuggets
Tariq Abdul-Wahad,5625000,2002-03,2003,2002,Dallas Mavericks
Tariq Abdul-Wahad,6187500,2003-04,2004,2003,Dallas Mavericks
Tariq Abdul-Wahad,6750000,2004-05,2005,2004,Dallas Mavericks
Tariq Abdul-Wahad,3656250,2005-06,2006,2005,Dallas Mavericks
Tariq Abdul-Wahad,1968750,2006-07,2007,2006,Dallas Mavericks
Shareef Abdur-Rahim,2186000,1996-97,1997,1996,Vancouver Grizzlies
Shareef Abdur-Rahim,9000000,1999-00,2000,1999,Vancouver Grizzlies
Shareef Abdur-Rahim,10130000,2000-01,2001,2000,Vancouver Grizzlies
Shareef Abdur-Rahim,11250000,2001-02,2002,2001,Atlanta Hawks
Shareef Abdur-Rahim,12375000,2002-03,2003,2002,Atlanta Hawks
Shareef Abdur-Rahim,13500000,2003-04,2004,2003,Atlanta Hawks
Danny Young,150000,1994-95,1995,1994,Milwaukee Bucks
Shareef Abdur-Rahim,14625000,2004-05,2005,2004,Portland Trail Blazers
Shareef Abdur-Rahim,5000000,2005-06,2006,2005,Sacramento Kings
Shareef Abdur-Rahim,5400000,2006-07,2007,2006,Sacramento Kings
Shareef Abdur-Rahim,5800000,2007-08,2008,2007,Sacramento Kings
Shareef Abdur-Rahim,6600000,2009-10,2010,2009,Sacramento Kings
Alex Abrines,5994764,2016-17,2017,2016,Oklahoma City Thunder
Alex Abrines,5725000,2017-18,2018,2017,Oklahoma City Thunder
Alex Acker,398762,2005-06,2006,2005,Detroit Pistons
Alex Acker,839209,2006-07,2007,2006,Detroit Pistons
Alex Acker,711517,2008-09,2009,2008,Los Angeles Clippers
Mark Acres,75000,1987-88,1988,1987,Boston Celtics
Mark Acres,300000,1988-89,1989,1988,Boston Celtics
Mark Acres,437000,1990-91,1991,1990,Orlando Magic
Mark Acres,547000,1991-92,1992,1991,Orlando Magic
Mark Acres,250000,1992-93,1993,1992,Houston Rockets
Quincy Acy,665000,2012-13,2013,2012,Toronto Raptors
Quincy Acy,788872,2013-14,2014,2013,Toronto Raptors
Quincy Acy,915243,2014-15,2015,2014,New York Knicks
Quincy Acy,981348,2015-16,2016,2015,Sacramento Kings
Quincy Acy,1914544,2016-17,2017,2016,Brooklyn Nets
Quincy Acy,1050961,2016-17,2017,2016,Dallas Mavericks
Quincy Acy,1709538,2017-18,2018,2017,Brooklyn Nets
Alvan Adams,500000,1984-85,1985,1984,Phoenix Suns
Alvan Adams,600000,1985-86,1986,1985,Phoenix Suns
Alvan Adams,675000,1987-88,1988,1987,Phoenix Suns
Hassan Adams,412718,2006-07,2007,2006,New Jersey Nets
Hassan Adams,297163,2008-09,2009,2008,Los Angeles Clippers
Jordan Adams,1344120,2014-15,2015,2014,Memphis Grizzlies
Jordan Adams,1404600,2015-16,2016,2015,Memphis Grizzlies
Jordan Adams,1465080,2016-17,2017,2016,Memphis Grizzlies
Michael Adams,85000,1985-86,1986,1985,Sacramento Kings
Michael Adams,160000,1987-88,1988,1987,Denver Nuggets
Michael Adams,375000,1988-89,1989,1988,Denver Nuggets
Michael Adams,825000,1990-91,1991,1990,Denver Nuggets
Michael Adams,1309000,1991-92,1992,1991,Washington Bullets
Michael Adams,1309000,1992-93,1993,1992,Washington Bullets
Michael Adams,1309000,1993-94,1994,1993,Washington Bullets
Michael Adams,1240000,1994-95,1995,1994,Charlotte Hornets
Steven Adams,2090880,2013-14,2014,2013,Oklahoma City Thunder
Steven Adams,2184960,2014-15,2015,2014,Oklahoma City Thunder
Steven Adams,2279040,2015-16,2016,2015,Oklahoma City Thunder
Steven Adams,3140517,2016-17,2017,2016,Oklahoma City Thunder
Steven Adams,22471910,2017-18,2018,2017,Oklahoma City Thunder
Rafael Addison,311000,1991-92,1992,1991,New Jersey Nets
Rafael Addison,522000,1992-93,1993,1992,New Jersey Nets
Rafael Addison,250000,1994-95,1995,1994,Detroit Pistons
Rafael Addison,360000,1995-96,1996,1995,Charlotte Hornets
Rafael Addison,290000,1996-97,1997,1996,Charlotte Hornets
Bam Adebayo,2490360,2017-18,2018,2017,Miami Heat
Jeff Adrien,342666,2010-11,2011,2010,Golden State Warriors
Jeff Adrien,270427,2011-12,2012,2011,Houston Rockets
Jeff Adrien,804131,2012-13,2013,2012,Charlotte Bobcats
Jeff Adrien,916099,2013-14,2014,2013,Charlotte Bobcats
Jeff Adrien,981084,2014-15,2015,2014,Houston Rockets
Arron Afflalo,944520,2007-08,2008,2007,Detroit Pistons
Arron Afflalo,1015440,2008-09,2009,2008,Detroit Pistons
Arron Afflalo,1086240,2009-10,2010,2009,Denver Nuggets
Arron Afflalo,1959577,2010-11,2011,2010,Denver Nuggets
Arron Afflalo,7562500,2011-12,2012,2011,Denver Nuggets
Arron Afflalo,7750000,2012-13,2013,2012,Orlando Magic
Arron Afflalo,7312500,2013-14,2014,2013,Orlando Magic
Arron Afflalo,7750000,2014-15,2015,2014,Portland Trail Blazers
Arron Afflalo,8000000,2015-16,2016,2015,New York Knicks
Arron Afflalo,12500000,2016-17,2017,2016,Sacramento Kings
Arron Afflalo,1500000,2017-18,2018,2017,Sacramento Kings
Arron Afflalo,1471382,2017-18,2018,2017,Orlando Magic
Maurice Ager,906480,2006-07,2007,2006,Dallas Mavericks
Maurice Ager,974400,2007-08,2008,2007,New Jersey Nets
Maurice Ager,1042440,2008-09,2009,2008,New Jersey Nets
Maurice Ager,83305,2010-11,2011,2010,Minnesota Timberwolves
Mark Aguirre,800000,1984-85,1985,1984,Dallas Mavericks
Mark Aguirre,626240,1985-86,1986,1985,Dallas Mavericks
Mark Aguirre,715700,1987-88,1988,1987,Dallas Mavericks
Mark Aguirre,715700,1988-89,1989,1988,Dallas Mavericks
Mark Aguirre,1115000,1990-91,1991,1990,Detroit Pistons
Mark Aguirre,1232000,1991-92,1992,1991,Detroit Pistons
Mark Aguirre,1351000,1992-93,1993,1992,Detroit Pistons
Mark Aguirre,1471000,1993-94,1994,1993,Detroit Pistons
Mark Aguirre,150000,1993-94,1994,1993,Los Angeles Clippers
Blake Ahearn,125562,2008-09,2009,2008,San Antonio Spurs
Danny Ainge,400000,1984-85,1985,1984,Boston Celtics
Danny Ainge,550000,1985-86,1986,1985,Boston Celtics
Danny Ainge,625000,1987-88,1988,1987,Boston Celtics
Danny Ainge,675000,1988-89,1989,1988,Boston Celtics
Danny Ainge,725000,1990-91,1991,1990,Portland Trail Blazers
Danny Ainge,725000,1991-92,1992,1991,Portland Trail Blazers
Danny Ainge,1330000,1992-93,1993,1992,Phoenix Suns
Danny Ainge,1690000,1993-94,1994,1993,Phoenix Suns
Danny Ainge,2080000,1994-95,1995,1994,Phoenix Suns
Alexis Ajinca,1276320,2008-09,2009,2008,Charlotte Bobcats
Alexis Ajinca,1372080,2009-10,2010,2009,Charlotte Bobcats
Alexis Ajinca,1467840,2010-11,2011,2010,Toronto Raptors
Alexis Ajinca,981084,2014-15,2015,2014,New Orleans Pelicans
Alexis Ajinca,4300000,2015-16,2016,2015,New Orleans Pelicans
Alexis Ajinca,4600000,2016-17,2017,2016,New Orleans Pelicans
Alexis Ajinca,4961798,2017-18,2018,2017,New Orleans Pelicans
Josh Akognon,788872,2013-14,2014,2013,Memphis Grizzlies
Solomon Alabi,770000,2010-11,2011,2010,Toronto Raptors
Solomon Alabi,830000,2011-12,2012,2011,Toronto Raptors
Mark Alarie,232500,1987-88,1988,1987,Washington Bullets
Mark Alarie,250000,1988-89,1989,1988,Washington Bullets
Mark Alarie,500000,1990-91,1991,1990,Washington Bullets
Mark Alarie,550000,1991-92,1992,1991,Washington Bullets
Furkan Aldemir,3000000,2014-15,2015,2014,Philadelphia 76ers
Furkan Aldemir,3000000,2015-16,2016,2015,Philadelphia 76ers
Cole Aldrich,2126520,2010-11,2011,2010,Oklahoma City Thunder
Cole Aldrich,2286000,2011-12,2012,2011,Oklahoma City Thunder
Cole Aldrich,2445480,2012-13,2013,2012,Sacramento Kings
Cole Aldrich,981084,2014-15,2015,2014,New York Knicks
Cole Aldrich,1100600,2015-16,2016,2015,Los Angeles Clippers
Cole Aldrich,7643979,2016-17,2017,2016,Minnesota Timberwolves
