"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-01","14.32",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"26","H,,S","33",",,W","22",",,W","  230",",,W","  210",",,W","23.0",",,W","29.1",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-02","12.75",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"34","H,,S","41",",,W","31",",,W","  270",",,W","  260",",,W","25.9",",,W","32.0",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-03","10.29",",,W",,,"0.62",",,W,2400","1.4",",,W",,,"28","H,,S","37",",,W","22",",,W","  120",",,W","  120",",,W","21.9",",,W","25.1",",,W","    1",",,W",,,,,"    1",",,W",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-04","8.28",",,W",,,"0.57",",,W,2400","0.0",",,W",,,"38","H,,S","52",",,W","35",",,W","  270",",,W","  250",",,W","17.0",",,W","25.9",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-05","22.15",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"40","H,,S","50",",,W","17",",,W","  280",",,W","  270",",,W","36.9",",,W","49.0",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-06","8.72",",,W",,,"0.02",",,W,2400","0.2",",,W",,,"17","H,,S","18",",,W","15",",,W","  260",",,W","  290",",,W","21.9",",,W","28.0",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-07","15.66",",,W",,,"0.00","T,,W,2400","0.0","T,,W",,,"19","H,,S","26",",,W","4",",,W","  290",",,W","  300",",,W","31.1",",,W","40.0",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-08","14.32",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"8","H,,S","19",",,W","-1",",,W","  300",",,W","  290",",,W","25.1",",,W","32.0",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-09","14.32",",,W",,,"0.01",",,W,2400","0.2",",,W",,,"23","H,,S","30",",,W","19",",,W","  270",",,W","  220",",,W","25.1",",,W","35.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-10","11.63",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"22","H,,S","24",",,W","17",",,W","  270",",,W","  270",",,W","19.9",",,W","23.0",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-11","9.62",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"21","H,,S","33",",,W","15",",,W","  260",",,W","  270",",,W","17.0",",,W","23.9",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-12","9.40",",,W",,,"0.20",",,W,2400","0.0","T,,W",,,"35","H,,S","38",",,W","33",",,W","  330",",,W","  350",",,W","17.0",",,W","23.0",",,W","    1",",,W",,,,,"    1",",,W",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-13","10.51",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"27","H,,S","35",",,W","15",",,W","  330",",,W","  330",",,W","21.0",",,W","25.9",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-14","8.72",",,W",,,"0.00","T,,W,2400","0.0","T,,W",,,"18","H,,S","25",",,W","14",",,W","  330",",,W","  320",",,W","13.0",",,W","16.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-15","9.62",",,W",,,"0.12",",,W,2400","0.8",",,W",,,"26","H,,S","31",",,W","25",",,W","  250",",,W","  250",",,W","15.0",",,W","21.0",",,W","    1",",,W",,,,,,,,,"    1",",,W","    1",",,W",,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-16","15.66",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"28","H,,S","38",",,W","15",",,W","  290",",,W","  290",",,W","29.1",",,W","38.9",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-17","10.96",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"16","H,,S","22",",,W","9",",,W","  290",",,W","  310",",,W","21.9",",,W","31.1",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-18","9.84",",,W",,,"0.15",",,W,2400","0.0",",,W",,,"32","H,,S","51",",,W","20",",,W","  180",",,W","  140",",,W","25.9",",,W","33.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-19","15.21",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"42","H,,S","46",",,W","32",",,W","  260",",,W","  250",",,W","23.0",",,W","31.1",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-20","13.42",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"33","H,,S","39",",,W","27",",,W","  260",",,W","  250",",,W","23.0",",,W","30.0",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-21","6.71",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"27","H,,S","34",",,W","22",",,W","  320",",,W","  330",",,W","14.1",",,W","19.9",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-22","6.93",",,W",,,"0.00","T,,W,2400","0.0","T,,W",,,"32","H,,S","37",",,W","29",",,W","  290",",,W","  290",",,W","14.1",",,W","17.0",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-23","10.29",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"31","H,,S","37",",,W","24",",,W","  240",",,W","  280",",,W","16.1",",,W","21.9",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-24","10.29",",,W",,,"0.71",",,W,2400","5.1",",,W",,,"32","H,,S","34",",,W","31",",,W","  270",",,W","  260",",,W","18.1",",,W","23.9",",,W","    1",",,W","    1",",,W",,,,,,,"    1",",,W",,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-25","14.32",",,W",,,"0.00",",,W,2400","0.0",",,W",,,"33","H,,S","38",",,W","19",",,W","  270",",,W","  260",",,W","25.1",",,W","33.1",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-26","16.33",",,W",,,"0.10",",,W,2400","2.3",",,W",,,"20","H,,S","29",",,W","11",",,W","   30",",,W","   30",",,W","33.1",",,W","42.9",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-27","22.15",",,W",,,"0.95",",,W,2400","22.1",",,W",,,"18","H,,S","19",",,W","14",",,W","  360",",,W","  360",",,W","32.0",",,W","45.0",",,W","    1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-28","12.75",",,W",,,"0.01",",,W,2400","0.2",",,W",,,"17","H,,S","24",",,W","13",",,W","  310",",,W","  310",",,W","19.9",",,W","25.9",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-29","4.25",",,W",,,"0.00","T,,W,2400","0.0","T,,W",,,"21","H,,S","32",",,W","10",",,W","  310",",,W","  310",",,W","13.0",",,W","17.0",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-30","11.86",",,W",,,"0.06",",,W,2400","0.7",",,W",,,"31","H,,S","34",",,W","19",",,W","  310",",,W","  310",",,W","32.0",",,W","44.1",",,W","    1",",,W",,,,,,,,,,,,,"    1",",,W"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-31","21.92",",,W",,,"0.05",",,W,2400","1.3",",,W",,,"18","H,,S","21",",,W","11",",,W","  320",",,W","  320",",,W","36.0",",,W","48.1",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W","    1",",,W"
