Date,PRCP,SNOW,TAVG,TMAX,TMIN
2015-01-01,0,0,26,33,22
2015-01-02,0,0,34,41,31
2015-01-03,0.62,1.4,28,37,22
2015-01-04,0.57,0,38,52,35
2015-01-05,0,0,40,50,17
2015-01-06,0.02,0.2,17,18,15
2015-01-07,0,0,19,26,4
2015-01-08,0,0,8,19,-1
2015-01-09,0.01,0.2,23,30,19
2015-01-10,0,0,22,24,17
2015-01-11,0,0,21,33,15
2015-01-12,0.2,0,35,38,33
2015-01-13,0,0,27,35,15
2015-01-14,0,0,18,25,14
2015-01-15,0.12,0.8,26,31,25
2015-01-16,0,0,28,38,15
2015-01-17,0,0,16,22,9
2015-01-18,0.15,0,32,51,20
2015-01-19,0,0,42,46,32
2015-01-20,0,0,33,39,27
2015-01-21,0,0,27,34,22
2015-01-22,0,0,32,37,29
2015-01-23,0,0,31,37,24
2015-01-24,0.71,5.1,32,34,31
2015-01-25,0,0,33,38,19
2015-01-26,0.1,2.3,20,29,11
2015-01-27,0.95,22.1,18,19,14
2015-01-28,0.01,0.2,17,24,13
2015-01-29,0,0,21,32,10
2015-01-30,0.06,0.7,31,34,19
2015-01-31,0.05,1.3,18,21,11
2015-02-01,0,0,19,30,12
2015-02-02,0.78,16.2,20,31,10
2015-02-03,0,0,13,22,6
2015-02-04,0.01,0,23,38,14
2015-02-05,0.09,0.8,31,36,7
2015-02-06,0,0,12,21,5
2015-02-07,0.07,0.9,23,29,16
2015-02-08,0.37,7.4,26,29,13
2015-02-09,0.88,14.8,17,25,14
2015-02-10,0.05,0.7,20,30,14
2015-02-11,0.01,0.5,22,25,14
2015-02-12,0.03,1,21,30,16
2015-02-13,0,0,16,22,7
2015-02-14,0.23,3.2,13,30,3
2015-02-15,0.39,13,19,20,-2
2015-02-16,0,0,6,19,-3
2015-02-17,0.02,0.6,15,23,10
2015-02-18,0.01,0,23,29,17
2015-02-19,0.06,2.4,25,30,10
2015-02-20,0,0,11,20,5
2015-02-21,0.17,1.1,17,34,4
2015-02-22,0.11,0.1,33,39,28
2015-02-23,0,0,27,33,4
2015-02-24,0,0,9,19,2
2015-02-25,0.07,1.9,23,35,14
2015-02-26,0.02,0.2,21,22,17
2015-02-27,0,0,20,27,15
2015-02-28,0,0,21,31,12
2015-03-01,0.17,1.9,23,30,12
2015-03-02,0.01,0.2,30,37,26
2015-03-03,0.26,1.6,26,33,20
2015-03-04,0.02,0,36,43,33
2015-03-05,0,0,33,39,18
2015-03-06,0,0,18,24,9
2015-03-07,0,0,25,38,17
2015-03-08,0,0,33,42,24
2015-03-09,0,0,37,48,26
2015-03-10,0.06,0,39,48,31
2015-03-11,0.01,0,46,57,37
2015-03-12,0,0,39,43,25
2015-03-13,0,0,30,40,24
2015-03-14,0.8,0,34,39,31
2015-03-15,0.27,2.9,36,41,27
2015-03-16,0,0,33,45,26
